學年度,代碼,學校名稱,公/私立,縣市名稱,鄉鎮市區名稱,地址,電話
113,014Y77,新北市三芝區三芝國民小學附設幼兒園,公立,新北市,三芝區,[252]新北市三芝區埔頭里28鄰育英街22號,(02)26362005#160
113,014Y34,新北市三芝區興華國民小學附設幼兒園,公立,新北市,三芝區,[252]新北市三芝區興華里1鄰5號,(02)26371366#207
113,014X9Z,新北市立三芝幼兒園,公立,新北市,三芝區,[252]新北市三芝區埔坪里13鄰民生街31號2樓,(02)26360371
113,014X9Z-01,新北市立三芝幼兒園福成分班,公立,新北市,三芝區,[252]新北市三芝區埔頭里27鄰中山路一段14號,(02)26361351
113,011YBM,新北市私立幼親幼兒園,私立,新北市,三芝區,[252]新北市三芝區埔頭里26鄰公正街60號2樓,(02)26368323
113,011YFK,新北市私立幼親國際幼兒園,私立,新北市,三芝區,[252]新北市三芝區埔頭里26鄰公正街30號2樓、公正街34號,(02)26368323
113,011XPP,新北市私立芝柏幼兒園,私立,新北市,三芝區,[252]新北市三芝區茂長里9鄰觀海街1號1樓、2樓,(02)26361104
113,011XPS,新北市私立敦品幼兒園,私立,新北市,三芝區,[252]新北市三芝區埔頭里23鄰中山路一段39號2樓、41號2樓,(02)86352801
113,011K3O,品哲文化股份有限公司附設新北市私立英群幼兒園,私立,新北市,三重區,[241]新北市三重區福祉里20鄰水漾路一段126號,(02)29728080
113,011Y62,財團法人天主教會台北教區附設新北市私立母心幼兒園,私立,新北市,三重區,[241]新北市三重區大園里5鄰大同北路115巷3號1樓,(02)29711193
113,014X48,新北市三重區二重國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區二重里14鄰大有街10號,(02)29846446#190
113,014X09,新北市三重區三光國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區同安里16鄰大同南路157號,(02)29753308#671
113,014X51,新北市三重區三重國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區奕壽里2鄰三和路3段1號,(02)29722095#180
113,014X50,新北市三重區五華國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區富貴里21鄰集賢路89號,(02)28575431
113,014X52,新北市三重區正義國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區正義里1鄰信義西街31號,(02)29853138#1090
113,014X70,新北市三重區永福國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區永福里22鄰永福街66號,(02)22876716#891
113,014X78,新北市三重區光榮國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區奕壽里1鄰介壽路32號,(02)29730392#700
113,014X08,新北市三重區光興國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區光輝里14鄰正義南路62號,(02)29755352#170
113,014X77,新北市三重區厚德國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區立德里4鄰忠孝路一段70號1樓,(02)29868825#54
113,014X49,新北市三重區重陽國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區六福里16鄰中正北路113號,(02)29826272#320
113,014X69,新北市三重區修德國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區民生里18鄰重陽路三段3號,(02)29800495#601
113,013K0I,新北市三重區集美國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區光明里25鄰集美街10號,(02)89725390#150
113,014X22,新北市三重區碧華國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區富福里20鄰五華街160號,(02)28577792#800
113,014X29,新北市三重區興穀國民小學附設幼兒園,公立,新北市,三重區,[241]新北市三重區五谷里7鄰神農街101號,(02)29990725#150
113,013K0J,新北市立二重國民中學附設幼兒園,公立,新北市,三重區,[241]新北市三重區福田里1鄰忠孝路三段89號,(02)29800164
113,014Z02,新北市立三和國民中學附設幼兒園,公立,新北市,三重區,[241]新北市三重區永盛里15鄰三和路四段216號,(02)22879890#777
113,014X9H,新北市立三重幼兒園,公立,新北市,三重區,[241]新北市三重區過田里4鄰新北大道一段9號3樓,(02)89838241
113,014X9H-01,新北市立三重幼兒園厚德分班,公立,新北市,三重區,[241]新北市三重區厚德里4鄰忠孝路一段21巷7號1樓、2樓,(02)29819519
113,014X9H-02,新北市立三重幼兒園崇德分班,公立,新北市,三重區,[241]新北市三重區崇德里17鄰仁孝街62號1樓,(02)29725078
113,014Z01,新北市立三重高級中學附設幼兒園,公立,新北市,三重區,[241]新北市三重區光明里19鄰集美街212號,(02)29760501#410
113,014Y38,新北市立光榮國民中學附設幼兒園,公立,新北市,三重區,[241]新北市三重區奕壽里1鄰介壽路26號,(02)29780211
113,014Y58,新北市立明志國民中學附設幼兒園,公立,新北市,三重區,[241]新北市三重區重陽里15鄰中正北路107號,(02)29844132#365
113,014Y37,新北市立碧華國民中學附設幼兒園,公立,新北市,三重區,[241]新北市三重區富貴里32鄰三信路166號,(02)29851121#600
113,011YGD,新北市私立三和幼兒園,私立,新北市,三重區,[241]新北市三重區福樂里8鄰三和路4段123號1、2、3樓,(02)22809318
113,011Y53,新北市私立三重忠孝幼兒園,私立,新北市,三重區,[241]新北市三重區六福里10鄰中正北路145巷6弄1號,(02)29894383
113,011XSK,新北市私立上綸幼兒園,私立,新北市,三重區,[241]新北市三重區忠孝里19鄰正義南路105巷13號1樓,(02)89723282
113,011Y67,新北市私立大全幼兒園,私立,新北市,三重區,[241]新北市三重區重明里17鄰重陽路一段26巷37號、39號1樓,(02)29862497
113,011XSN,新北市私立子禕天地幼兒園,私立,新北市,三重區,[241]新北市三重區忠孝里5鄰光興街2號1、2樓,(02)29736113
113,011XBW,新北市私立丹力幼兒園,私立,新北市,三重區,[241]新北市三重區幸福里32鄰重陽路3段154號1樓、152號2樓,(02)89883300
113,011XSB,新北市私立仁慈幼兒園,私立,新北市,三重區,[241]新北市三重區五順里25鄰五華街21巷39號1、2樓,(02)89882711
113,011XC1,新北市私立天鵝園幼兒園,私立,新北市,三重區,[241]新北市三重區三民里5鄰中正北路118巷3號1樓,(02)29711973
113,011K1X,新北市私立加州森林國際幼兒園,私立,新北市,三重區,[241]新北市三重區富貴里32鄰三信路100號1樓、2樓、3樓,(02)28579000
113,011XCB,新北市私立幼苗國際幼兒園,私立,新北市,三重區,[241]新北市三重區培德里19鄰中正北路165巷2號1樓、2樓、3樓,(02)89814080
113,011XC6,新北市私立吉的堡英資幼兒園,私立,新北市,三重區,[241]新北市三重區六合里1鄰重陽路4段24號、26號、28號1~3樓,(02)29855548
113,011XS9,新北市私立吉德幼兒園,私立,新北市,三重區,[241]新北市三重區福民里11鄰新興路30號及32號1樓、2樓,(02)29771397
113,011YEQ,新北市私立安尼爾幼兒園,私立,新北市,三重區,[241]新北市三重區溪美里22鄰仁政街111、113號1樓,(02)89817555
113,011YFM,新北市私立艾力克幼兒園,私立,新北市,三重區,[241]新北市三重區長元里6鄰三和路2段37號3樓,(02)29783755
113,011XCG,新北市私立艾美樂幼兒園,私立,新北市,三重區,[241]新北市三重區光明里28鄰集美街112巷9號1樓、2樓、11號1樓,(02)29753317
113,011Y66,新北市私立育林幼兒園,私立,新北市,三重區,[241]新北市三重區二重里8鄰頂崁街187巷4號、6號1樓,(02)29811051
113,011XSC,新北市私立邦仁幼兒園,私立,新北市,三重區,[241]新北市三重區碧華里10鄰溪尾街328號1、2樓,(02)28575786
113,011XD0,新北市私立邦喬妮幼兒園,私立,新北市,三重區,[241]新北市三重區五順里23鄰五華街21巷3號1樓、5樓1樓,(02)29831314
113,011XSH,新北市私立來來幼兒園,私立,新北市,三重區,[241]新北市三重區田安里4鄰新北大道一段100巷11號1、2樓、13號1樓、15號1樓、17號2、3樓,(02)29893961
113,011XSI,新北市私立兒童天地幼兒園,私立,新北市,三重區,[241]新北市三重區永福里6鄰力行路2段162巷3號1、2樓,(02)22865791
113,011XSP,新北市私立宜德幼兒園,私立,新北市,三重區,[241]新北市三重區富福里2鄰仁愛街445巷35、37、39、41號1樓,(02)29800352
113,011Y52,新北市私立東光幼兒園,私立,新北市,三重區,[241]新北市三重區承德里16鄰仁壽街200號,(02)29732617
113,011YEM,新北市私立肯妮斯幼兒園,私立,新北市,三重區,[241]新北市三重區碧華里14鄰三信路7號1、2樓及9號2樓,(02)28579988
113,011K2U,新北市私立金吉邇幼兒園,私立,新北市,三重區,[241]新北市三重區田心里31鄰洛陽街55巷16號,(02)8981-2079
113,011XC3,新北市私立長頸鹿吉凱幼兒園,私立,新北市,三重區,[241]新北市三重區谷王里1鄰興德路100號1~2樓,(02)85121800
113,011XCU,新北市私立勁寶兒喜星園幼兒園,私立,新北市,三重區,[241]新北市三重區成功里19鄰成功路28號1、2樓,(02)89729002
113,011YBX,新北市私立哈佛園幼兒園,私立,新北市,三重區,[241]新北市三重區永豐里16鄰永福街179巷6號1、2樓、3樓,(02)22866156
113,011XCN,新北市私立威妮斯特堡幼兒園,私立,新北市,三重區,[241]新北市三重區富貴里22鄰五華街161號1、2樓,(02)28572999
113,011XSM,新北市私立宥寶幼兒園,私立,新北市,三重區,[241]新北市三重區永豐里9鄰下竹圍街93巷1、3號1樓,(02)22802567
113,011Y60,新北市私立英嘉幼兒園,私立,新北市,三重區,[241]新北市三重區三安里11鄰三和路三段16巷2、4、6、8號1樓,(02)29822666
113,011YBY,新北市私立重愛幼兒園,私立,新北市,三重區,[241]新北市三重區田中里10鄰忠孝路三段40巷1之1號1、2樓,(02)29776688
113,011YBY-01,新北市私立重愛幼兒園三民分班,私立,新北市,三重區,[241]新北市三重區福田里1鄰三民街206之2號2樓,(02)29783188
113,011YFJ,新北市私立重新幼兒園,私立,新北市,三重區,[241]新北市三重區文化里14鄰重新路二段21號2樓,(02)29854162
113,011XST,新北市私立夏綠蒂幼兒園,私立,新北市,三重區,[241]新北市三重區五順里25鄰五華街21巷15號1、2、3樓及13號2、3樓,(02)29863649
113,011XCD,新北市私立班博士幼兒園,私立,新北市,三重區,[241]新北市三重區大德里10鄰三和路1段48號1、2樓、50號1、2樓,(02)29725412
113,011XCJ,新北市私立益智幼兒園,私立,新北市,三重區,[241]新北市三重區福祉里1鄰集美街5號、7號2樓,(02)89722600
113,011XSZ,新北市私立茱莉亞園幼兒園,私立,新北市,三重區,[241]新北市三重區田中里4鄰三民路175巷25號1~2樓、27號1~3樓、重陽路2段52巷83弄4號1樓、6號1~3樓,(02)29850500
113,011XCS,新北市私立啟文幼兒園,私立,新北市,三重區,[241]新北市三重區福隆里18鄰溪尾街106號1、2、3樓,(02)22877049
113,011XCC,新北市私立強森園幼兒園,私立,新北市,三重區,[241]新北市三重區立德里19鄰三張街149巷16號1、2樓,(02)89814131
113,011YDS,新北市私立徠安幼兒園,私立,新北市,三重區,[241]新北市三重區光明里13鄰重安街12號1、2樓,(02)29776789
113,011XC8,新北市私立探索幼兒園,私立,新北市,三重區,[241]新北市三重區過田里26鄰重新路四段57號1樓,(02)89811737#11
113,011Y50,新北市私立甜甜幼兒園,私立,新北市,三重區,[241]新北市三重區奕壽里6鄰三和路三段83巷1、3、5、7號1樓及9號1~2樓,(02)29729876
113,011K1H,新北市私立翊華三重國際幼兒園,私立,新北市,三重區,[241]新北市三重區富貴里32鄰集賢路181號,(02)28572045
113,011K0D,新北市私立喜星園幼兒園,私立,新北市,三重區,[241]新北市三重區成功里19鄰成功路22號2樓之1,(02)89729002
113,011XCV,新北市私立喬大幼兒園,私立,新北市,三重區,[241]新北市三重區立德里14鄰力行路1段179巷10號1樓、2樓,(02)29899921
113,011K30,新北市私立富群幼兒園,私立,新北市,三重區,[241]新北市三重區重明里11鄰捷運路43號1、2、3樓,(02)29703228
113,011XSX,新北市私立復國幼兒園,私立,新北市,三重區,[241]新北市三重區五順里30鄰仁義街211巷3、5號,(02)29883299
113,011XCW,新北市私立惠文幼兒園,私立,新北市,三重區,[241]新北市三重區富貴里18鄰五華街149號1樓,(02)28570626#101
113,011XC0,新北市私立惠文兒童領袖幼兒園,私立,新北市,三重區,[241]新北市三重區富貴里24鄰五華街207號1、2、3樓,(02)28570626
113,011XCQ,新北市私立華兒園精緻幼兒園,私立,新北市,三重區,[241]新北市三重區長泰里17鄰三和路二段75號2樓,(02)29761536
113,011XCK,新北市私立華納幼兒園,私立,新北市,三重區,[241]新北市三重區光田里25鄰新北大道一段115號1、2樓,(02)89826868
113,011XCL,新北市私立象寶園幼兒園,私立,新北市,三重區,[241]新北市三重區田中里5鄰忠孝路三段40巷59號1、2、3樓,(02)89818593
113,011XC4,新北市私立愛箂兒幼兒園,私立,新北市,三重區,[241]新北市三重區福祉里8鄰集美街121號1樓及2樓、119號2樓、成功路73巷35號2樓,(02)29778696
113,011K0S,新北市私立新二重幼兒園,私立,新北市,三重區,[241]新北市三重區二重里1鄰忠孝路三段93巷6號2樓,(02)89815751
113,011XCY,新北市私立新永福幼兒園,私立,新北市,三重區,[241]新北市三重區永福里11鄰力行路2段136巷23弄20號2樓及22、24、26號1、2樓,(02)22869049
113,011XT0,新北市私立新欣欣幼兒園,私立,新北市,三重區,[241]新北市三重區慈化里13鄰分子尾街111號1、2樓,(02)28578049
113,011Y73,新北市私立新碧華幼兒園,私立,新北市,三重區,[241]新北市三重區慈祐里11鄰分子尾街32號1樓,(02)29896058
113,011YDO,新北市私立新學林幼兒園,私立,新北市,三重區,[241]新北市三重區五華里3鄰仁義街307號1、2樓,(02)28575598
113,011K2I,新北市私立新寰宇國際幼兒園,私立,新北市,三重區,[241]新北市三重區碧華里7鄰集仁街81號1、2、3樓,(02)2857-8081
113,011YDE,新北市私立鼎群幼兒園,私立,新北市,三重區,[241]新北市三重區光華里12鄰福德北路50號1樓,(02)29706018
113,011K0E,新北市私立學仕幼兒園,私立,新北市,三重區,[241]新北市三重區光明里13鄰重新路三段202、204號2樓、3樓,(02)29747878
113,011YE0,新北市私立藤井樹幼兒園,私立,新北市,三重區,[241]新北市三重區慈祐里25鄰五華街122巷3號(門牌整編含5號)1樓,(02)29818500
113,011XCI,新北市私立蘋果樹仁政幼兒園,私立,新北市,三重區,[241]新北市三重區溪美里5鄰仁政街76巷6、8、10、12號各1樓及6號2樓、12號2樓,(02)29850518
113,011K2J,新北市碧城非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),私立,新北市,三重區,[241]新北市三重區富貴里32鄰三信路166號1、2、3樓,(02)82877575
113,011K2G,財團法人享翔葉克膜教育基金會附設新北市私立翔耀幼兒園,私立,新北市,三峽區,[237]新北市三峽區龍學里36鄰大德路302號1樓,(02)26730873
113,011K32,國家教育研究院員工子女非營利幼兒園(委託財團法人彭婉如文教基金會辦理),私立,新北市,三峽區,[237]新北市三峽區龍埔里8鄰三樹路2號1樓,(02)26725016
113,011K2X,清福長照社團法人附設新北市私立清福幼兒園,私立,新北市,三峽區,[237]新北市三峽區礁溪里2鄰介壽路1段261號1樓,(02)86726006
113,014Y96,新北市三峽區三峽國民小學附設幼兒園,公立,新北市,三峽區,[237]新北市三峽區永?里16鄰中山路16號,(02)26711018#850
113,014Z04,新北市三峽區大埔國民小學附設幼兒園,公立,新北市,三峽區,[237]新北市三峽區大埔里17鄰大埔路130號,(02)26712523#140
113,014Y36,新北市三峽區五寮國民小學附設幼兒園,公立,新北市,三峽區,[237]新北市三峽區五寮里14鄰69號,(02)26720298#30
113,014Y18,新北市三峽區介壽國民小學附設幼兒園,公立,新北市,三峽區,[237]新北市三峽區介壽里21鄰大同路1號,(02)26712392#60
113,014Y35,新北市三峽區民義國民小學附設幼兒園,公立,新北市,三峽區,[237]新北市三峽區嘉添里2鄰白雞路40號,(02)26711895#841
113,014X87,新北市三峽區建安國民小學附設幼兒園,公立,新北市,三峽區,[237]新北市三峽區安坑里15鄰建安路67號,(02)26726783#105
113,011XYM,新北市三峽區農會附設新北市私立幼兒園,私立,新北市,三峽區,[237]新北市三峽區礁溪里8鄰長泰街98巷5號2樓,(02)26711002#126
113,011K1Z,新北市中園非營利幼兒園(委託財團法人成長文教基金會辦理),私立,新北市,三峽區,[237]新北市三峽區中埔里9鄰弘園街22號,(02)86720070
113,011K16,新北市北大非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),私立,新北市,三峽區,[237]新北市三峽區龍埔里31鄰國光街100號A棟1~2樓,(02)86717373
113,014X9O,新北市立三峽幼兒園,公立,新北市,三峽區,[237]新北市三峽區溪東里10鄰溪東路218巷1號2樓,(02)86762565
113,014X9O-02,新北市立三峽幼兒園中興分班,公立,新北市,三峽區,[237]新北市三峽區溪南里7鄰介壽路二段136巷63號,(02)86763332#28
113,014X9O-01,新北市立三峽幼兒園龍埔分班,公立,新北市,三峽區,[237]新北市三峽區龍埔里6鄰三樹路214巷9號,(02)26733873
113,014Y40,新北市立三峽國民中學附設幼兒園,公立,新北市,三峽區,[237]新北市三峽區鳶山里6鄰復興路238號,(02)26711043#300
113,014Y39,新北市立安溪國民中學附設幼兒園,公立,新北市,三峽區,[237]新北市三峽區中正里14鄰大同路135號,(02)26717851#501
113,014Y17,新北市立插角森林實驗小學附設幼兒園,公立,新北市,三峽區,[237]新北市三峽區插角里14鄰39號,(02)26720230#840
113,011K11,新北市安溪非營利幼兒園(委託社團法人桃園市教保服務人員協會辦理),私立,新北市,三峽區,[237]新北市三峽區礁溪里25鄰中華路42號,(02)26718607
113,011XYH,新北市私立小甜甜幼兒園,私立,新北市,三峽區,[237]新北市三峽區鳶山里10鄰中山路106巷17弄14號1、2樓,(02)77306611
113,011XYI,新北市私立小樹苗幼兒園,私立,新北市,三峽區,[237]新北市三峽區龍埔里27鄰復興路80巷14弄1、5號,(02)26732336
113,011XJO,新北市私立山姆叔叔幼兒園,私立,新北市,三峽區,[237]新北市三峽區龍學里36鄰學勤路125號1.2樓,(02)86712899#9
113,011XYE,新北市私立文化幼兒園,私立,新北市,三峽區,[237]新北市三峽區鳶山里3鄰大勇路3巷1、3號,(02)26717156
113,011XYF,新北市私立文強幼兒園,私立,新北市,三峽區,[237]新北市三峽區鳶山里18鄰中山路257巷2號、4號1樓,(02)26718832
113,011XJR,新北市私立北大幼兒園,私立,新北市,三峽區,[237]新北市三峽區永?里20鄰復興路177巷8號1樓、10號1、2樓,(02)26721286
113,011XJP,新北市私立幼心園幼兒園,私立,新北市,三峽區,[237]新北市三峽區介壽里18鄰介壽路一段276巷108弄38號1、2樓,(02)26740645
113,011XJL,新北市私立快樂靜思園幼兒園,私立,新北市,三峽區,[237]新北市三峽區礁溪里31鄰中華路15巷5號1樓(含夾層)、7號1樓(含夾層),(02)86717127
113,011XYG,新北市私立育全三峽幼兒園,私立,新北市,三峽區,[237]新北市三峽區礁溪里3鄰長泰街24號1樓、24之1號1樓、2樓、3樓,(02)26748181
113,011XJN,新北市私立佩思幼兒園,私立,新北市,三峽區,[237]新北市三峽區礁溪里33鄰中華路25號1樓,(02)26728882
113,011XYK,新北市私立佳兒幼兒園,私立,新北市,三峽區,[237]新北市三峽區安溪里4鄰中正路1段108巷30號1~2樓,(02)26718964
113,011K2Z,新北市私立佳宜幼兒園,私立,新北市,三峽區,[237]新北市三峽區礁溪里10鄰介壽路1段183號1、2樓,(02)26713610
113,011XYO,新北市私立東北藝園幼兒園,私立,新北市,三峽區,[237]新北市三峽區八張里8鄰民族街28巷9弄12、16、20號各1樓,(02)26713321
113,011YFU,新北市私立東橙幼兒園,私立,新北市,三峽區,[237]新北市三峽區龍學里6鄰大德路70號及72號1、2樓,(02)26731996
113,011XYJ,新北市私立金祥慈幼兒園,私立,新北市,三峽區,[237]新北市三峽區永?里19鄰和平街36巷7弄1號1.2樓,(02)26741273
113,011K0T,新北市私立娃娃國幼兒園,私立,新北市,三峽區,[237]新北市三峽區龍學里18鄰大義路239號,(02)86719717
113,011XYP,新北市私立恆育幼兒園,私立,新北市,三峽區,[237]新北市三峽區溪東里1鄰橫溪路99巷76、78、80號,(02)86763857
113,011XJQ,新北市私立啟育幼兒園,私立,新北市,三峽區,[237]新北市三峽區永?里1鄰民生街59號1、2、3樓及民生街27巷14、16、18、20、22號各1樓,(02)26719995
113,011XYQ,新北市私立朝陽幼兒園,私立,新北市,三峽區,[237]新北市三峽區永?里24鄰復興路132巷7號1、2樓,(02)26719202
113,011K29,新北市私立童妍幼兒園,私立,新北市,三峽區,[237]新北市三峽區龍恩里23鄰大學路151號1樓,(02)86710636
113,011YFZ,新北市私立童話村幼兒園,私立,新北市,三峽區,[237]新北市三峽區中正里23鄰光明路100之6號2樓,(02)86725570
113,011K02,新北市私立溫特爾幼兒園,私立,新北市,三峽區,[237]新北市三峽區龍埔里5鄰三樹路336號1、2、3樓,(02)26718181
113,011X62,新北市私立聖母幼兒園,私立,新北市,三峽區,[237]新北市三峽區中埔里3鄰中園街71-1號,(02)86713100
113,011YFI,新北市私立瑪莉亞蒙特梭利幼兒園,私立,新北市,三峽區,[237]新北市三峽區龍學里32鄰大德路493號1樓(含夾層),(02)86726343
113,011XJW,新北市私立璦俐兒幼兒園,私立,新北市,三峽區,[237]新北市三峽區介壽里21鄰大同路1-5號1、2樓,(02)26742222
113,011K13,新北市漢翔非營利幼兒園(委託財團法人三之三生命教育基金會辦理),私立,新北市,三峽區,[237]新北市三峽區龍學里31鄰大學路218號1至3樓,(02)26729891
113,011K0F,新北市龍埔成長非營利幼兒園(委託財團法人成長文教基金會辦理),私立,新北市,三峽區,[237]新北市三峽區龍學里1鄰大學路6號,(02)86719390
113,014X19,新北市土城區土城國民小學附設幼兒園,公立,新北市,土城區,[236]新北市土城區埤塘里12鄰興城路17號,(02)22700177#881
113,014Y15,新北市土城區安和國民小學附設幼兒園,公立,新北市,土城區,[236]新北市土城區安和里16鄰延和路23號,(02)22603451#151
113,014Y90,新北市土城區清水國民小學附設幼兒園,公立,新北市,土城區,[236]新北市土城區清溪里36鄰金城路二段356號,(02)22618316#880
113,014Y16,新北市土城區頂埔國民小學附設幼兒園,公立,新北市,土城區,[236]新北市土城區頂福里20鄰中央路四段205號,(02)22686800#874
113,014X96,新北市土城區廣福國民小學附設幼兒園,公立,新北市,土城區,[236]新北市土城區廣福里18鄰學府路一段127號,(02)22626782#600
113,014Y14,新北市土城區樂利國民小學附設幼兒園,公立,新北市,土城區,[236]新北市土城區日新里11鄰裕生路65號,(02)22662568#860
113,011K1R,新北市中正非營利幼兒園(委託財團法人三之三生命教育基金會辦理),私立,新北市,土城區,[236]新北市土城區青雲里10鄰金城路二段247號1、2樓,(02)22707998
113,014X9S,新北市立土城幼兒園,公立,新北市,土城區,[236]新北市土城區中正里16鄰裕民路193之1號,(02)22607244
113,014X9S-01,新北市立土城幼兒園大頂埔分班,公立,新北市,土城區,[236]新北市土城區頂福里17鄰中州路28巷30號3樓,(02)22682948
113,014X9S-02,新北市立土城幼兒園清水分班,公立,新北市,土城區,[236]新北市土城區清和里1鄰青雲路368號2、3樓,(02)82625344
113,014Y41,新北市立土城國民中學附設幼兒園,公立,新北市,土城區,[236]新北市土城區永寧里4鄰永寧路18號,(02)22675135#110
113,011XZZ,新北市私立土城名仁幼兒園,私立,新北市,土城區,[236]新北市土城區?廷里8鄰延吉街217巷9弄3號,(02)82621941
113,011Y9D,新北市私立土城育全幼兒園,私立,新北市,土城區,[236]新北市土城區廣興里7鄰學府路1段98巷32號、32-1號1樓、2樓、3樓,(02)22628181
113,011Y9G,新北市私立土農幼兒園,私立,新北市,土城區,[236]新北市土城區大安里7鄰永和街23號1樓、2樓,(02)22696788
113,011K0C,新北市私立丹妮爾幼兒園,私立,新北市,土城區,[236]新北市土城區日和里21鄰中央路一段285、287號,(02)22633647
113,011XZS,新北市私立天翔幼兒園,私立,新北市,土城區,[236]新北市土城區埤林里4鄰學享街47號、49號1、2樓,(02)82612548
113,011XMP,新北市私立日恩幼兒園,私立,新北市,土城區,[236]新北市土城區延祿里21鄰延和路185號1、2樓,(02)22651608
113,011XMM,新北市私立北極星幼兒園,私立,新北市,土城區,[236]新北市土城區貨饒里10鄰學成路165號1樓、167號1樓、169號1~2樓、171號2樓,(02)22666311
113,011XZW,新北市私立幼強幼兒園,私立,新北市,土城區,[236]新北市土城區延吉里17鄰延吉街78巷1弄2、4、6、8、10號,(02)22617239
113,011YFD,新北市私立永昇幼兒園,私立,新北市,土城區,[236]新北市土城區永豐里7鄰清水路214號、216號各1、2、3樓,(02)22660600
113,011Z22,新北市私立立仁幼兒園,私立,新北市,土城區,[236]新北市土城區裕生里37鄰樂利街5號1、2樓,(02)22613248
113,011XZY,新北市私立立新幼兒園,私立,新北市,土城區,[236]新北市土城區員林里26鄰中央路2段149巷10弄2號1樓、4號1樓,(02)22634148
113,011Z71,新北市私立休士頓幼兒園,私立,新北市,土城區,[236]新北市土城區青山里2鄰明德路一段74號1.2.3樓,(02)22633066
113,011XMI,新北市私立全球幼兒園,私立,新北市,土城區,[236]新北市土城區延和里26鄰立德路135巷2-1號、2-2號1、2樓,(02)22652939
113,011YF6,新北市私立吉恩幼兒園,私立,新北市,土城區,[236]新北市土城區員仁里2鄰中央路二段392之1號1、2樓,(02)82611194
113,011XN4,新北市私立名亮幼兒園,私立,新北市,土城區,[236]新北市土城區柑林里1鄰金城路2段260號2樓,(02)82623971
113,011Y9B,新北市私立安佳幼兒園,私立,新北市,土城區,[236]新北市土城區瑞興里10鄰廣明街74、76號,(02)89668515
113,011XMF,新北市私立安和幼兒園,私立,新北市,土城區,[236]新北市土城區平和里18鄰延和路105巷1弄4號1樓、6號1樓,(02)22643340
113,011K3E,新北市私立有一天幼兒園,私立,新北市,土城區,[236]新北市土城區廣興里12鄰廣福街2號1~3樓,(02)82603126
