name,county,district,address,phone,elem,jhs
社子諾仁分校,台北市,士林區,台北市士林區永平街9巷8弄11號1樓,02-2812-3124,1,0
MPM天母分校,台北市,士林區,台北市士林區天玉街38巷2號2樓,02-2872-5572,1,0
藝術家分校,台北市,北投區,台北市北投區珠海路26號1樓,02-2897-1168,1,1
MPM數學教室石牌分校,台北市,北投區,台北市北投區石牌路一段39巷80弄32號1樓,02-2827-5609,1,0
明德分校,台北市,北投區,台北市北投區東華街一段400巷15號1樓,02-2821-4366,1,0
喬納森分校,台北市,內湖區,台北市內湖區金龍路97號,02-2792-9575,1,1
新昀分校,台北市,內湖區,台北市內湖區金湖路401巷30號1樓,02-2634-1568,1,0
大湖分校,台北市,內湖區,台北市內湖區大湖山莊街187號1樓,02-2792-8298,1,1
諾貝爾美語補習班(金湖路),台北市,內湖區,台北市內湖區金湖路419號1樓,(02)2633-0368,1,0
童心補習班,台北市,內湖區,台北市內湖區成功路二段320巷38號1樓,02-2794-5099,1,0
知識樹東湖校,台北市,內湖區,台北市內湖區東湖路113巷48-2號,26316018,1,0
中研分校,台北市,南港區,台北市南港區研究院路二段12巷57弄13號,0937855198,1,1
杜老師分校,台北市,南港區,台北市南港區富康街31號1樓,02-2788-7119,1,0
東美補習班,台北市,南港區,台北市南港區興華路129號1樓,02-2788-7556,1,0
成德分校,台北市,南港區,台北市南港區東新街77巷19號1樓,02-2782-5161,1,1
領航補習班,台北市,文山區,台北市文山區景華街121巷7弄11號,02-2931-3190,1,0
子愛分校,台北市,文山區,台北市文山區興隆路四段165巷3號1樓,02-2938-8030,1,0
力文文理補習班,台北市,文山區,台北市文山區木新路三段315號2樓,02-2939-0219,1,1
頂尖補習班,基隆市,仁愛區,基隆市仁愛區仁二路198號3F,02-2429-4759,1,0
哈利文理補習班,基隆市,暖暖區,基隆市暖暖區暖碇路159號1樓,02-2458-3600,1,1
多元補習班,基隆市,七堵區,基隆市七堵區福一街51巷8號,02-2452-1480,1,0
時代補習班,基隆市,七堵區,基隆市七堵區自治北街25號1樓,02-2455-2223,1,0
小象教室,基隆市,七堵區,基隆市七堵區明德一路188號3F,02-2455-3273,1,1
新生代亞東分校,新北市,板橋區,新北市土城區廣明街72號2F,02-8966-8977,1,0
快樂學習發展中心,新北市,板橋區,新北市板橋區自強新村87號1樓,02-2968-9387,1,1
小叮噹補習班,新北市,板橋區,新北市板橋區新生街23巷13號,02-2960-6616,1,0
曜馨文理補習班,新北市,板橋區,新北市板橋區實踐路93巷58號1樓,02-2958-9918,1,0
點子瓬補習班,新北市,板橋區,新北市板橋區中正路280號2樓,02-8968-1682,1,1
優昇芝麻街-後埔分校,新北市,板橋區,新北市板橋區光明街128號,02-8953-0610,1,1
莊敬分校,新北市,板橋區,新北市板橋區莊敬路25巷4弄10號,02-2254-3247,1,1
永錡溪洲分校,新北市,板橋區,新北市板橋區金門街372巷30號1樓,02-2686-0993,1,1
旦以理文理補習班,新北市,板橋區,新北市板橋區漢生東路303號5樓,02-29536843,1,1
來增能補習班,新北市,板橋區,新北市板橋區莒光路133巷2-1號1樓,02-22530237,1,1
領先分校,新北市,板橋區,新北市板橋區文化路一段270巷3弄9,02-22587399,1,1
建成分校,新北市,汐止區,新北市汐止區建成路56巷27號2樓,02-2641-5330,1,0
子藝經-汐科分校,新北市,汐止區,新北市汐止區大同路二段240號4樓,2648-5599、2648-5009,1,1
小菲力補習班,新北市,新店區,新北市新店區三民路75巷1弄14號,02-2913-9975,1,1
康晨教室,新北市,新店區,新北市新店區中興路一段177號1樓,02-2911-6945,1,0
菁英分校,新北市,新店區,新北市新店區民族路233號3樓,02-8911-7131,1,0
輔人教室,新北市,永和區,新北市永和區得和路221巷6號1樓,02-2923-0123,1,0
壹寶文教,新北市,永和區,新北市永和區秀安街9巷2號,02-8660-4599,1,0
奧爾文理補習班,新北市,永和區,新北市永和區永元路36號,02-2923-0866,1,1
永昕文理短期補習班,新北市,永和區,新北市永和區保生路58號2樓,02-2927-6086,1,0
私立自強語文文理補習班,新北市,中和區,新北市中和區莒光路177巷1號,02-2226-7426,1,0
南勢角分校,新北市,中和區,新北市中和區景新街410巷18弄8號1樓,02-2940-1161,1,1
劉老師數學教室,新北市,中和區,新北市中和區自立路36-11號1樓,02-8942-3869,1,0
百家文理補習班,新北市,中和區,新北市中和區景安路231之1號(2樓),02-2946-6021,1,0
茁壯園分校,新北市,中和區,新北市中和區民生街8號3樓,02-8951-3859,1,0
錦和分校,新北市,中和區,新北市中和區圓通路367巷2號2樓,02-2246-0906,1,0
中和芝&#34100;分校,新北市,中和區,新北市中和區枋寮街5號,02-8245-5651,1,0
慈霖安親學園,新北市,土城區,新北市土城區金城路二段211號2樓,02-2264-1686,1,0
安和分校,新北市,土城區,新北市土城區延和路42-1號,02-8262-1200,1,0
伯明翰補習班,新北市,土城區,新北市土城區光明街50號2樓,02-8260-1881,1,0
維妮文理語文短期補習班,新北市,土城區,新北市土城區學士路12巷6號1、2樓,02-22645626,1,0
民生分校,新北市,三峽區,新北市三峽區復興路27號,02-2674-2288,1,1
三峽北大分校,新北市,三峽區,新北市三峽區國學街38號,02-3501-2008,1,0
三峽龍埔分校,新北市,三峽區,新北市三峽區大學路31號4樓,26710026,1,1
快樂地分校,新北市,樹林區,新北市樹林區八德街118號,02-8685-8888,1,0
大同分校,新北市,樹林區,新北市樹林區太元街22號,02-8686-9486,1,1
桃子腳分校,新北市,樹林區,新北市樹林區學勤路458號,02-8970-6300,1,0
樹林分校,新北市,樹林區,新北市樹林區啟智街129號,02-2685-1228,1,0
小桃子分校,新北市,樹林區,新北市樹林區桃子腳路98號,（02）3501-7399,1,0
鶯歌區-黃老師教室,新北市,鶯歌區,新北市鶯歌區育才街96號3樓,02-2678-6499,1,1
鶯歌二橋分校,新北市,鶯歌區,新北市鶯歌區高職西街45、47號1樓,02-2677-7345,1,0
吉德分校,新北市,三重區,新北市三重區新興路28巷7號,02-2977-1397,1,0
重陽補習班,新北市,三重區,新北市三重區中正北路174-4號1樓,02-2983-3871,1,0
永福分校,新北市,三重區,新北市三重區力行路二段148號2樓之1,02-2280-3385,1,0
惠文補習班,新北市,三重區,新北市三重區五華街149、207號,02-2857-0307,1,0
新泰分校,新北市,新莊區,新北市新莊區公園一路146號,02-2993-2253,1,0
復興分校,新北市,新莊區,新北市新莊區中平路81巷12號,02-2993-3991,1,1
永錡光華分校,新北市,新莊區,新北市新莊區民安西路410巷15號,02-2204-5391,1,0
榮富分校,新北市,新莊區,新北市新莊區中和街155巷17號1樓,02-2276-2788,1,1
成德菁英補習班,新北市,新莊區,新北市新莊區四維路21號2樓,02-2205-5799,1,0
泰山恆大補習班義學補習班,新北市,泰山區,新北市泰山區明志路二段6號2樓、8號2-4樓,02-2909-3511,1,0
一加一補習班,新北市,林口區,新北市林口區忠孝路600號,02-2609-9891,1,0
麗林分校,新北市,林口區,新北市林口區公園路96號,2609-5488,1,0
維璨創客坊,新北市,林口區,新北市林口區文化三路二段32之3號1樓,02-2601-6198,1,1
放學回家Home School,新北市,林口區,新北市林口區忠孝三路38、40號,02-2606-8152,1,0
知識樹學苑文理補習班,新北市,林口區,新北市林口區南勢一街17巷31號,(02)6605-0989,1,0
鷺江分校,新北市,蘆洲區,新北市蘆洲區民權路38巷1號,02-2285-5621,1,1
蘆洲分校,新北市,蘆洲區,新北市蘆洲區三民路26巷20弄5號1樓,02-8282-6510,1,1
忠義分校,新北市,蘆洲區,新北市蘆洲區長樂路229號,02-2848-9925,1,0
MPM數學德音分校,新北市,五股區,新北市五股區自強路101號1樓,22921350,1,0
竹圍教室,新北市,淡水區,新北市淡水區民權路40號3F,02-2808-3253,1,0
數智家教室,宜蘭縣,宜蘭市,宜蘭縣宜蘭市泰山路86巷8弄22號,03-936-7415,1,1
菁英文理短期補習班,宜蘭縣,宜蘭市,宜蘭縣宜蘭市民權新路453號,0919221581,1,0
智遠補習班,宜蘭縣,宜蘭市,宜蘭縣宜蘭市黎明三路430號1-2樓,03-937-2384,1,1
加楓文理短期補習班,宜蘭縣,宜蘭市,宜蘭縣宜蘭市民族路145巷1號2-3樓，143之1號2-3樓,03-931-1627,1,0
英數小學堂,宜蘭縣,宜蘭市,宜蘭縣宜蘭市民權路二段110號1樓,03-935-9335,1,0
瑪侍德文理短期補習班,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉礁溪路四段78號2樓,03-988-2865,1,0
翔陽補習班,宜蘭縣,壯圍鄉,宜蘭縣壯圍鄉壯五路145號,03-937-2657,1,1
北成分校,宜蘭縣,羅東鎮,宜蘭縣羅東鎮重陽街99號,0952-800052,1,0
格林美語,宜蘭縣,羅東鎮,宜蘭縣羅東鎮開羅街32號,03-954-9035,1,0
希望種子分校,宜蘭縣,羅東鎮,宜蘭縣羅東鎮學府街33巷3號2樓,03-956-6771,1,0
愛迪生分校,宜蘭縣,羅東鎮,宜蘭縣羅東鎮純精路三段190號,03-953-3223,1,0
向虹文理短期補習班,宜蘭縣,羅東鎮,宜蘭縣羅東鎮愛國路238號,03-9534727,1,0
想想學坊補習班,宜蘭縣,五結鄉,宜蘭縣五結鄉中正路一段152號1樓,03-965-8819,1,0
真善美補習班,宜蘭縣,蘇澳鎮,宜蘭縣蘇澳鎮中山路一段431號,03-997-2225,1,1
立文補習班,宜蘭縣,蘇澳鎮,宜蘭縣蘇澳鎮和平路119號,03-990-7360,1,1
白馬才藝中心,桃園市,中壢區,桃園市中壢區白馬莊117號1樓,03-493-8338,1,0
忠福分校,桃園市,中壢區,桃園市中壢區西園路84巷28號,03-4535668,1,0
長頸鹿幼兒學校,桃園市,中壢區,桃園市中壢區龍昌路156號,03-438-8366,1,0
長堤分校,桃園市,中壢區,桃園市中壢區普義路139-1號1樓,03-451-7345,1,0
青埔分校,桃園市,中壢區,桃園市中壢區民權路四段557巷11號,03-422-4809,1,0
綠光幼兒園,桃園市,中壢區,桃園市中壢區榮民南路556號,03-271-7338,1,0
內壢－中正分校,桃園市,中壢區,桃園市中壢區榮安十五街45號,03-462-1479,1,1
內壢－內壢分校,桃園市,中壢區,桃園市中壢區成章四街95號,03-451-8866,1,0
普仁分校,桃園市,中壢區,桃園市中壢區中山東路三段329號,03-416-3189,1,0
信義威佛分校,桃園市,中壢區,桃園市中壢區成都路48號,03-458-8664,1,0
華勛分校,桃園市,中壢區,桃園市中壢區榮民南路215-1號,03-438-0202,1,0
內壢－元生分校,桃園市,中壢區,桃園市中壢區文化二路311號,03-455-1444,1,0
新驛文理數學語文音樂短期補習班,桃園市,中壢區,桃園市中壢區強國路19號4-5樓,03-435-2323,1,1
喬加優美語數學短期補習班,桃園市,中壢區,桃園市中壢區慈惠三街115號1樓,03-4273033,1,0
私立優立方語文數學短期補習班,桃園市,中壢區,桃園市中壢區青商路28號及30號1樓,03-4532648,1,0
私立文緯數學短期補習班,桃園市,中壢區,桃園市中壢區松德路28號1樓,03-490-5530,1,1
尼爾教室,桃園市,平鎮區,桃園市平鎮區南華街96巷15號,03-4397756,1,0
林森森園分校,桃園市,平鎮區,桃園市平鎮區新榮路16巷2號1樓,0928-583-459,1,0
山仔頂博儒分校,桃園市,平鎮區,桃園市平鎮區湧光路2巷13弄50號,03-469-6465,1,1
南勢分校,桃園市,平鎮區,桃園市平鎮區南安路91巷13號,03-439-7527,1,0
東安分校,桃園市,平鎮區,桃園市平鎮區平東路134-3號,03-460-6645,1,1
文化分校,桃園市,平鎮區,桃園市平鎮區文化街214號,03-402-1626,1,1
美爾頓補習班,桃園市,平鎮區,桃園市平鎮區新光路四段177號2樓,03-439-6622,1,0
建如語文文理珠心算短期補習班,桃園市,平鎮區,桃園市平鎮區文化街72號1-4樓,03-493-8800,1,0
武漢分校,桃園市,龍潭區,桃園市龍潭區武漢路5號,03-499-0717,1,0
丹妮幼兒園,桃園市,龍潭區,桃園市龍潭區武中路269號1樓,03-489-0666,1,0
富岡分校,桃園市,楊梅區,桃園市楊梅區新富十街50號,03-497-1302,1,0
玫瑰分校,桃園市,楊梅區,桃園市楊梅區瑞溪路二段38號,03-431-3343,1,1
仟樺分校,桃園市,楊梅區,桃園市楊梅區萬大路116巷57號,03-4817031,1,0
新屋分校－新奇屋,桃園市,新屋區,桃園市新屋區新生村10鄰33之1號,03-497-0598,1,0
宏林才藝中心,桃園市,觀音區,桃園市觀音區草漯村新生路1643號,03-483-0555,1,0
多恩長頸鹿幼兒園,桃園市,觀音區,桃園市觀音區福德街212號,03-483-9100,1,0
布萊登文理短期補習班,桃園市,觀音區,桃園市觀音區中山路二段522號,03-4980741,1,0
中山翰成分校,桃園市,桃園區,桃園市桃園區國際路一段1069號,03-392-2516,1,1
東門分校(格蘭英語),桃園市,桃園區,桃園市桃園區鎮撫街97號,(03)333-8256,1,0
同安元智分校,桃園市,桃園區,桃園市桃園區新埔十街4-1號1樓,03-355-3483,1,1
建國分校,桃園市,桃園區,桃園市桃園區樹林九街47號1樓,03-366-3858,1,0
大有分校,桃園市,桃園區,桃園市桃園區大有路511號2樓,03-356-5633,1,1
MPM數學桃園大業教室,桃園市,桃園區,桃園市桃園區大業路一段125號,03-338-6366,1,0
西門教室,桃園市,桃園區,桃園市桃園區莒光街28號,03-3329-266,1,0
乘究文理補習班,桃園市,桃園區,桃園市桃園區經國路280號3樓,03-325-1230,1,0
黃老師,桃園市,桃園區,桃園市桃園區坤成街57號,0936667886,1,0
安徒生分校,桃園市,桃園區,桃園市桃園區泰昌十二街97號1-2樓,03-220-1212,1,1
翰憲文理短期補習班,桃園市,桃園區,桃園市桃園區大連一街105號,03-3551720,1,0
文華分校,桃園市,龜山區,桃園市龜山區文化七路88號,03-327-3182,1,1
私立高盛文理短期補習班,桃園市,龜山區,桃園市龜山區樂善二路828號1樓,0922968082,1,0
大勇分校,桃園市,八德區,桃園市八德區忠勇街361號,03-371-0888,1,1
瑞豐分校－加貝爾幼稚園,桃園市,八德區,桃園市八德區介壽路二段685巷75號,03-373-1107,1,0
優德威分校,桃園市,八德區,桃園市八德區廣興路822號,0928-870178,1,0
桃園市私立德育兒童課後照顧服務中心,桃園市,八德區,桃園市八德區長興路700之23號2樓,03-3684500,1,0
大成分校,桃園市,八德區,桃園市八德區廣福路28號3樓,03-3641316,1,1
私立僑城英語數學文理短期補習班,桃園市,大溪區,桃園市大溪區仁善街96號2-3樓,03-3906770,1,0
青峰文理短期補習班,桃園市,大園區,桃園市大園區青峰路二段168號,(03)287-2633,1,0
上格分校,桃園市,蘆竹區,桃園市蘆竹區上興路111號,03-313-5500,1,0
南崁－信可補習班,桃園市,蘆竹區,桃園市蘆竹區吉林路128號1樓,03-222-2859,1,0
MPM光明分校─三之三,桃園市,蘆竹區,桃園市蘆竹區南順七街46號,03-311-3600,1,1
南崁－南美分校,桃園市,蘆竹區,桃園市龜山區南上路90號,03-212-6881,1,1
南崁-宏育分校,桃園市,蘆竹區,桃園市蘆竹區長壽三街40號1樓,03-321-7666,1,0
舊社分校－漢聲幼稚園,新竹市,北區,新竹市武陵路216-2號2-3樓,03-534-0258,1,0
民富分校,新竹市,北區,新竹市北大路266號2樓,03-524-3589,1,1
芝&#34100;街民富分校,新竹市,北區,新竹市北區民富街149號1-4樓,03-524-6308,1,0
奧爾清大附小分校,新竹市,北區,新竹市北區四維路100號,03-525-0182,1,0
延展文理補習班,新竹市,東區,新竹市東區光復路一段607巷30號,03-563-1905,1,0
建功分校,新竹市,東區,新竹市東區建中路31號,03-574-8988,1,1
東園分校,新竹市,東區,新竹市東區光復路二段393巷16號,03-571-1666,1,1
小博士園地,新竹市,東區,新竹市東區明湖路231號,03-562-2811,1,1
延展惠民分班,新竹市,東區,新竹市東區惠民街67號,03-563-8787,0,1
新竹市私立冠偉文理短期補習班,新竹市,東區,新竹市東區中央路162巷1號2樓,0952-106220,1,0
新竹市貝奇文理短期補習班,新竹市,東區,新竹市東區仁義街2號,03-543-0086,1,0
蘇老師學府教室,新竹市,東區,新竹市東區學府路77號,03-5710375,1,1
新竹市私立心奇點全人文理短期補習班,新竹市,東區,新竹市東區關新路51號3樓,03-6667399,1,0
奇果分校,新竹縣,竹北市,新竹縣竹北市光明九路155巷3號,03-656-8384,1,0
千蕎分校,新竹縣,竹北市,新竹縣竹北市中華路405巷15號,03-552-9508,1,0
竹北六家分校,新竹縣,竹北市,新竹縣竹北市嘉興路52號,03-657-8890,1,1
新社分校,新竹縣,竹北市,新竹縣竹北市華興一街129號,03-551-9258,1,0
新竹高鐵分校,新竹縣,竹北市,新竹縣竹北市嘉豐十一路二段75號1樓,03-550-3553,1,0
掄元文理短期補習班,新竹縣,竹北市,新竹縣竹北市莊敬三路82號1-4樓,03-6587182,1,1
奇玉安興分校,新竹縣,竹北市,新竹縣竹北市自強北路302號1樓,03-668-5687,1,0
竹北華興教室,新竹縣,竹北市,新竹縣竹北市華興街288號2樓,03-5552897,1,0
博愛分校愛數文理補習班,新竹縣,竹北市,新竹縣竹北市光明二街81巷41號1樓,03-656-1352,1,0
竹北中正竹仁分校,新竹縣,竹北市,新竹縣竹北市仁義路80號,03-555-0827,1,0
岑翊文理短期補習班,新竹縣,竹北市,新竹縣竹北市福興東路二段348號,0955-833762,1,0
翰師教育學校-文興校,新竹縣,竹北市,新竹縣竹北市隘口二路382號,03-6672122,1,0
瑪奇朵分校,新竹縣,湖口鄉,新竹縣湖口鄉民族街220號2樓,0955-833-762,1,1
學府分校,新竹縣,新豐鄉,新竹縣新豐鄉博學街113號,03-559-0099,1,0
新埔分校,新竹縣,新埔鎮,新竹縣新埔鎮中正路192號1-2樓,03-589-7903,1,0
芎林分校,新竹縣,芎林鄉,新竹縣芎林鄉文昌街222號,03-512-0033,1,0
竹東分校,新竹縣,竹東鎮,新竹縣竹東鎮大同路6號,03-511-1000,1,1
二重分校,新竹縣,竹東鎮,新竹縣竹東鎮中央路49號1、2樓,03-583-7191,1,0
上館分校,新竹縣,竹東鎮,新竹縣竹東鎮南寧路142號,03-510-0523,1,0
小花補習班,新竹縣,竹東鎮,新竹縣竹東鎮莊敬路112號,03-594-1111,1,0
芝&#34100;園補習班,苗栗縣,竹南鎮,苗栗縣竹南鎮福德路181號,037-470-011,1,1
快樂成長中心,苗栗縣,竹南鎮,苗栗縣竹南鎮新南街71巷1號,037-612-724,1,1
頭份分校,苗栗縣,頭份市,苗栗縣頭份市自立街52號,037-690-007,1,1
易群文理技藝短期補習班,苗栗縣,頭份市,苗栗縣頭份市三民街21號1-2樓,037-663-166,1,0
通霄分校(伊頓英語),苗栗縣,通霄鎮,苗栗縣通霄鎮平新一路60號1-3樓,037-759-515,1,1
苑里教室,苗栗縣,苑裡鎮,苗栗縣苑裡鎮世界路立華巷8號,037-867-689,1,0
三之三文理短期補習班,苗栗縣,苗栗市,苗栗縣苗栗市自治路328號1-4樓,037-338-700,1,0
向陽文理補習班,台中市,西區,台中市西區華美街126號,04-2378-7795,1,0
美村教室,台中市,西區,台中市西區美村路一段596巷9號,0932-950-959,1,0
MPM恣遊省三分校,台中市,北區,台中市北區大義街11號,04-2235-7008,1,0
MPM中華分校,台中市,北區,台中市北區漢口路三段5號,04-22966313,1,0
大榕樹教室,台中市,北屯區,台中市北屯區崇德五路47號,04-2242-3586,1,0
立英補習班,台中市,北屯區,台中市北屯區東山路一段254號,04-2436-5508,1,0
仁美教室,台中市,北屯區,台中市北屯區豐樂路10-28號,04-2422-6823,1,0
仁美頂尖教室,台中市,北屯區,台中市北屯區豐樂一街107號1-2樓,04-2422-7133,1,0
MPM北屯文心校,台中市,北屯區,台中市北屯區绥遠路2段171號,(04)2249-1986,1,1
安德文理補習班,台中市,西屯區,台中市西屯區福雅路128巷17號,04-2461-4688,1,0
冠廷文教文華分校,台中市,西屯區,台中市西屯區甘肅路一段215號,04-2315-5666,1,0
上安教室,台中市,西屯區,台中市西屯區上安路115號,04-2451-7855,1,1
安信佳MPM專業數學教室,台中市,西屯區,台中市西屯區何厝東二街67-1號,04-2317-6989,1,1
威德智庫補習班,台中市,南屯區,台中市南屯區大昌街529號,0800-050-080,1,1
劍橋幼兒園,台中市,南屯區,台中市南屯區永春東路211號,04-2473-6561,1,0
維巧數學教室,台中市,南屯區,台中市南屯區保安一街79號,04-2383-2479,1,0
程光文教機構,台中市,南屯區,台中市南屯區公益路二段326號,04-2258-3453,1,1
永春教室,台中市,南屯區,台中市南屯區永春東路239號,04-24735150,1,0
威肯教育機構,台中市,南屯區,台中市南屯區向上路五段70巷7號1樓,04-23808280,1,0
ＭＰＭ數學館,台中市,太平區,台中市太平區樹德五街25號,04-2395-3924,1,0
獅子王文教機構-新光分校,台中市,太平區,台中市太平區太順路866號1-2樓,04-2395-3558,1,0
文昇文理補習班(美村街),台中市,大里區,台中市大里區美村街171號,(04)2496-0525,1,1
史丹佛永隆分校,台中市,大里區,台中市大里區永隆五街25號,04-2407-6518,1,0
向日葵－立新教室,台中市,大里區,台中市大里區立新街362號,04-2275-8078,1,0
學習方舟崇光教室,台中市,大里區,台中市大里區東明路119號1-3樓,04-2486-0000,1,0
耶魯文理補習班,台中市,大里區,台中市大里區現岱路80號,04-2483-0765,1,0
京學文教,台中市,大里區,台中市大里區上興街二段134巷6號,04-2491-3551,1,0
私立伊凡特文理短期補習班,台中市,霧峰區,台中市霧峰區中正路737號,04-2332-9399,1,1
智瀚文理補習班,台中市,烏日區,台中市烏日區中華路294巷6號,04-2338-2877,1,1
童田教室,台中市,烏日區,台中市烏日區仁德村興祥街41巷26號,04-2338-9718,1,0
MPM旭光分校,台中市,烏日區,台中市烏日區三榮十五路22號,04-2336-6260,1,0
柏岳文教機構,台中市,豐原區,台中市豐原區瑞安街152號2樓之1,04-2520-0995,1,0
以馬內利補習班,台中市,豐原區,台中市豐原區北陽一街38號,04-2515-5602,1,0
比爾蓋茲補習班,台中市,豐原區,台中市豐原區同安街88號,04-2520-5888,1,0
康博補習班,台中市,豐原區,台中市豐原區文昌街168號,(04)2526-3157,1,0
MPM數學南陽教室,台中市,豐原區,台中市豐原區自強街68號,04-2529-6789,1,0
南陽家嘉分校,台中市,豐原區,台中市豐原區自強街16-1號,04-2529-2645,1,1
史丹佛東勢教室,台中市,東勢區,台中市東勢區三民街272號,04-2587-4988,1,0
新禾補習班,台中市,潭子區,台中市潭子區福潭路507巷58號,04-2539-0019,1,1
唯多補習班,台中市,潭子區,台中市潭子區興華二路81號,04-2535-9065,1,0
史丹佛美語僑忠分校,台中市,潭子區,台中市潭子區復興路一段2-12號1樓,04-2536-2426,1,0
史丹佛頭家分校,台中市,潭子區,台中市潭子區得福街192號,04-2532-6620,1,0
史丹佛大雅校,台中市,大雅區,台中市大雅區學府路76巷62號,04-25676866,1,0
天祥教室,台中市,大肚區,台中市大肚區沙田路一段854巷24-1號,04-2698-0318,1,0
MPM東海分校,台中市,大肚區,台中市大肚區遊園路二段132號1-3樓,04-2691-1717,1,1
佳恩教室,台中市,沙鹿區,台中市沙鹿區鎮南路二段117號,04-2636-8685,1,0
順德堡文理短期補習班,台中市,沙鹿區,台中市沙鹿區保順六街17號,(04)2636-5678,1,0
MPM龍井分校,台中市,龍井區,台中市龍井區龍山街95巷37號1-2樓,04-2635-0365,1,0
新中華文藻教育機構,台中市,梧棲區,台中市梧棲區居仁街63巷8號,04-2658-4100,1,1
赫綵文理補習班,台中市,清水區,台中市清水區學園街68號1-3樓,04-2623-8555,1,0
MPM數學大甲分校,台中市,大甲區,台中市大甲區雁門路199-1號,04-2688-2878,1,1
彰市師大－晨陽補習班,彰化縣,彰化市,彰化縣彰化市力行路110號,04-728-3598,1,0
彰市民生－長方圓補習班,彰化縣,彰化市,彰化縣彰化市陽明街12號,04-729-0607,1,1
彰市大竹－育揚文藻補習班,彰化縣,彰化市,彰化市彰南路二段243號,04-732-0333,1,0
彰市民族－德馨補習班,彰化縣,彰化市,彰化縣彰化市民族路159號,04-726-1079,1,0
彰市南郭－上上補習班,彰化縣,彰化市,彰化市介壽北路216號,04-725-5745,1,0
私立加碼文理短期補習班,彰化縣,彰化市,彰化縣彰化市忠誠路72號1-2樓,04-7282400,1,0
立微文理補習班,彰化縣,花壇鄉,彰化縣花壇鄉光明路4號,04-787-5401,1,1
雲軒補習班,彰化縣,鹿港鎮,彰化縣鹿港鎮自治街48號1、2樓,04-776-3249,1,0
光翟數學補習班,彰化縣,和美鎮,彰化縣和美鎮道周路542號,04-757-0548,1,0
智慧園補習班,彰化縣,和美鎮,彰化縣和美鎮彰新路三段413號1-2樓,04-736-0158,1,0
柏林文理補習班,彰化縣,員林市,彰化縣員林市南平里南平街76號,04-835-0011,1,0
立承教室,彰化縣,員林市,彰化縣員林市光明南街18巷2號,04-834-6001,1,1
培程文理補習班,彰化縣,員林市,彰化縣員林市大同路一段178號,04-839-5751,1,0
彩畫屋美術文理補習班,彰化縣,永靖鄉,彰化縣永靖鄉港西村永社路301號,04-823-7217,1,0
育賢補習班,彰化縣,田中鎮,彰化縣田中鎮廣義路79號,04-874-7415,1,0
學文補習班,彰化縣,北斗鎮,彰化縣北斗鎮文賢街195號,04-888-5312,1,1
